id,block,trialno_full,trialno_block,stim,choice,correct,response_time,feedback,money,run
subj_1,2,92,32,6,2,1,1467.29999999993,-11,120,1
subj_1,2,93,33,2,2,0,1161.29999999993,-11,100,1
subj_1,2,94,34,2,2,0,2131.19999999995,1,100,1
subj_1,2,95,35,4,1,0,1318.5,-11,80,1
subj_1,2,96,36,6,1,0,1114.40000000002,1,80,1
subj_1,2,97,37,6,1,0,924.400000000023,-11,60,1
subj_1,2,98,38,1,2,1,1568.29999999993,11,80,1
subj_1,2,99,39,6,2,1,1024.29999999993,1,80,1
subj_1,2,100,40,5,2,0,1714.19999999995,-1,80,1
subj_1,2,101,41,4,1,0,2200.19999999995,1,80,1
subj_1,2,102,42,5,2,0,1136.79999999993,-1,80,1
subj_1,2,103,43,6,1,0,1522.09999999998,1,80,1
subj_1,2,104,44,3,2,0,1460,11,100,1
subj_1,2,105,45,1,2,1,1852,11,120,1
subj_1,2,106,46,2,2,0,1404.59999999998,-11,100,1
subj_1,2,107,47,3,2,0,1951.19999999995,-1,100,1
subj_1,2,108,48,2,9,9,9999,9,100,1
subj_1,2,109,49,2,2,0,1202.40000000002,-11,80,1
subj_1,2,110,50,4,1,0,1009.09999999998,-11,60,1
subj_1,2,111,51,2,1,1,1287.69999999995,1,60,1
subj_1,2,112,52,3,2,0,797,-1,60,1
subj_1,2,113,53,5,2,0,1151.59999999998,-1,60,1
subj_1,2,114,54,2,1,1,1746.19999999995,1,60,1
subj_1,2,115,55,5,2,0,802.79999999993,11,80,1
subj_1,2,116,56,5,2,0,1289.40000000002,11,100,1
subj_1,2,117,57,6,1,0,1324.69999999995,-11,80,1
subj_1,2,118,58,1,1,0,1170.69999999995,-1,80,1
subj_1,2,119,59,2,1,1,1806.59999999998,1,80,1
subj_1,2,120,60,4,2,1,1673.19999999995,1,80,1
subj_1,3,121,1,2,1,1,1494.40000000002,1,0,1
subj_1,3,122,2,6,1,0,1723,1,0,1
subj_1,3,123,3,5,2,0,1012.90000000002,11,20,1
subj_1,3,124,4,4,1,0,2282.90000000002,1,20,1
subj_1,3,125,5,5,2,0,896.199999999953,-1,20,1
subj_1,3,126,6,3,2,0,1766.79999999993,-1,20,1
subj_1,3,127,7,3,9,9,9999,9,20,1
subj_1,3,128,8,5,2,0,723.29999999993,-1,20,1
subj_1,3,129,9,1,2,1,1437.29999999993,11,40,1
subj_1,3,130,10,2,2,0,1028.59999999998,-11,20,1
subj_1,3,131,11,2,2,0,1001.90000000002,-11,0,1
subj_1,3,132,12,4,1,0,1026.5,-11,-20,1
subj_1,3,133,13,2,2,0,867.79999999993,-11,-40,1
subj_1,3,134,14,6,1,0,1419.69999999995,-11,-60,1
subj_1,3,135,15,3,2,0,803.699999999953,-1,-60,1
subj_1,3,136,16,6,2,1,710.29999999993,1,-60,1
subj_1,3,137,17,6,2,1,856.199999999953,-11,-80,1
subj_1,3,138,18,3,2,0,1176.90000000002,-1,-80,1
subj_1,3,139,19,2,1,1,1234.19999999995,1,-80,1
subj_1,3,140,20,5,1,1,683.400000000023,-1,-80,1
subj_1,3,141,21,5,2,0,950.699999999953,11,-60,1
subj_1,3,142,22,6,1,0,1233.29999999993,-11,-80,1
subj_1,3,143,23,2,2,0,718.599999999977,-11,-100,1
subj_1,3,144,24,5,1,1,600.699999999953,-1,-100,1
subj_1,3,145,25,3,2,0,1363.19999999995,11,-80,1
subj_1,3,146,26,4,1,0,1059.19999999995,-11,-100,1
subj_1,3,147,27,3,2,0,1465.79999999993,-1,-100,1
subj_1,3,148,28,4,2,1,1271.79999999993,1,-100,1
subj_1,3,149,29,3,2,0,1171.69999999995,-1,-100,1
subj_1,3,150,30,2,1,1,1699.59999999998,-11,-120,1
subj_1,3,151,31,1,2,1,642.199999999953,11,-100,1
subj_1,3,152,32,5,2,0,729.599999999977,11,-80,1
subj_1,3,153,33,1,1,0,1018.79999999993,-1,-80,1
subj_1,3,154,34,1,2,1,1042.79999999993,11,-60,1
subj_1,3,155,35,4,1,0,907.400000000023,-11,-80,1
subj_1,3,156,36,3,1,1,1050,11,-60,1
subj_1,3,157,37,3,2,0,690.600000000093,-1,-60,1
subj_1,3,158,38,2,2,0,1189.90000000014,-11,-80,1
subj_1,3,159,39,4,1,0,925.300000000047,-11,-100,1
subj_1,3,160,40,1,2,1,723.100000000093,-1,-100,1
subj_1,3,161,41,3,2,0,1135.10000000009,11,-80,1
subj_1,3,162,42,5,2,0,1092.40000000014,-1,-80,1
subj_1,3,163,43,6,2,1,1201.70000000019,-11,-100,1
subj_1,3,164,44,1,1,0,1560.39999999991,-1,-100,1
subj_1,3,165,45,1,2,1,648.399999999907,11,-80,1
subj_1,3,166,46,6,2,1,1401,-11,-100,1
subj_1,3,167,47,1,1,0,985.5,-1,-100,1
subj_1,3,168,48,4,2,1,888.899999999907,1,-100,1
subj_1,3,169,49,5,2,0,662.199999999953,-1,-100,1
subj_1,3,170,50,6,1,0,1796.09999999986,1,-100,1
subj_1,3,171,51,6,1,0,806.699999999953,-11,-120,1
subj_1,3,172,52,5,2,0,631.399999999907,-1,-120,1
subj_1,3,173,53,1,2,1,662.5,11,-100,1
subj_1,3,174,54,4,1,0,1310.59999999986,1,-100,1
subj_1,3,175,55,1,2,1,788.5,11,-80,1
subj_1,3,176,56,2,2,0,959.800000000047,-11,-100,1
subj_1,3,177,57,4,1,0,871.800000000047,1,-100,1
subj_1,3,178,58,4,1,0,1079.69999999995,-11,-120,1
subj_1,3,179,59,2,2,0,855,-11,-140,1
subj_1,3,180,60,6,2,1,749.699999999953,1,-140,1
subj_1,4,181,1,1,2,1,1396.09999999986,11,20,1
subj_1,4,182,2,5,2,0,1074.69999999995,-1,20,1
subj_1,4,183,3,6,2,1,800.699999999953,1,20,1
subj_1,4,184,4,2,1,1,1003.30000000005,1,20,1
subj_1,4,185,5,1,2,1,898,11,40,1
subj_1,4,186,6,1,2,1,576.59999999986,11,60,1
subj_1,4,187,7,3,2,0,1113.89999999991,-1,60,1
subj_1,4,188,8,6,1,0,743.800000000047,1,60,1
subj_1,4,189,9,1,2,1,660.399999999907,11,80,1
subj_1,4,190,10,4,2,1,1292.39999999991,1,80,1
subj_1,4,191,11,3,2,0,755.699999999953,-1,80,1
subj_1,4,192,12,6,1,0,716.300000000047,-11,60,1
subj_1,4,193,13,6,2,1,974.300000000047,-11,40,1
subj_1,4,194,14,6,1,0,1728.19999999995,1,40,1
subj_1,4,195,15,1,2,1,685.5,11,60,1
subj_1,4,196,16,5,2,0,826.800000000047,-1,60,1
subj_1,4,197,17,3,2,0,664.09999999986,11,80,1
subj_1,4,198,18,1,2,1,880,11,100,1
subj_1,4,199,19,4,1,0,1287.30000000005,-11,80,1
subj_1,4,200,20,1,2,1,1940.59999999986,11,100,1
subj_1,4,201,21,4,1,0,889.899999999907,-11,80,1
subj_1,4,202,22,2,1,1,1357.19999999995,1,80,1
subj_1,4,203,23,5,2,0,1437.80000000005,-1,80,1
subj_1,4,204,24,3,1,1,901,11,100,1
subj_1,4,205,25,6,1,0,1435.69999999995,-11,80,1
subj_1,4,206,26,6,1,0,1233,1,80,1
subj_1,4,207,27,6,1,0,992.199999999953,-11,60,1
subj_1,4,208,28,6,2,1,1311.5,-11,40,1
subj_1,4,209,29,1,2,1,885.5,-1,40,1
subj_1,4,210,30,5,1,1,682.800000000047,-1,40,1
subj_1,4,211,31,4,2,1,952.09999999986,1,40,1
subj_1,4,212,32,1,2,1,1178.69999999995,11,60,1
subj_1,4,213,33,5,1,1,1302,11,80,1
