singular,convergence_false,coef_intercept,se_intercept,df_intercept,t_intercept,prob_intercept,coef_pe,se_pe,df_pe,t_pe,prob_pe,coef_valence,se_valence,df_valence,t_valence,prob_valence,coef_interaction_pe_valence,se_interaction_pe_valence,df_interaction_pe_valence,t_interaction_pe_valence,prob_interaction_pe_valence,coef_neg,coef_pos,se_neg,se_pos,pvalue_neg,pvalue_pos,coeff_diff,se_diff,pvalue_diff
0,0,1.19352473574285,0.234616651669054,45.9696718303959,5.08712713804482,6.56737567077324e-06,-0.304025857896031,0.295027207972515,32.7676383257405,-1.03050108491809,0.310321532843469,0.0981358230478392,0.0331944505171955,36494.2055258634,2.95639245472681,0.00311459889841432,0.0171984107174918,0.392643545610084,28.0412598273289,0.0438015877499506,0.965372988692104,-0.321224268613522,-0.286827447178539,0.469812902095363,0.511562168002447,0.494146895174734,0.575009345023528,-0.0343968214349836,0.785287091220167,0.965062561459217
0,0,1.2517313113115,0.237355043952457,45.2968429490052,5.27366636270945,3.62159977617797e-06,-0.371511358166062,0.295338849160415,31.7872533000709,-1.25791564239581,0.217584725511895,0.0842936288632334,0.0333987746211448,36264.8906350946,2.52385393833782,0.0116118486275737,0.0605932790548294,0.398172476826251,27.837034197338,0.152178471846687,0.880143794409495,-0.432104637220891,-0.310918079111233,0.450968371777746,0.536805590420618,0.337976737627931,0.56245387748597,-0.121186558109659,0.796344953652502,0.879046173169493
0,0,1.28508888896846,0.237953168090122,44.3988964846283,5.40059583691589,2.48351849632944e-06,-0.28219918869238,0.290792757492272,31.0549386916842,-0.97044778943602,0.339321547653994,0.113779937224149,0.0333550884967665,32279.4965996964,3.41117179872508,0.000647635513114455,0.00192569322929025,0.372779283521627,28.3035667329623,0.00516577319184245,0.995914566436131,-0.28412488192167,-0.280273495463089,0.3773622364537,0.55194871733194,0.451495907777513,0.611601314408128,-0.00385138645858051,0.745558567043253,0.995878327656911
0,0,1.31437757695129,0.24198024990895,44.7795062415795,5.43175559759879,2.1866959146121e-06,-0.306714755641723,0.291503522001724,30.9739872571415,-1.05218198921078,0.300855758972148,0.124591444166185,0.0332634852691807,28003.148666565,3.74559199548527,0.000180329436464089,-0.172907629613815,0.375382932878411,27.9746389738683,-0.460616651609521,0.648634465934069,-0.133807126027908,-0.479622385255538,0.345513103724937,0.57653620391609,0.6985557619825,0.405463514682305,0.34581525922763,0.750765865756822,0.645073662748407
0,0,1.31967990968173,0.245572505313685,44.1487817862515,5.37389113653429,2.75634227880678e-06,-0.290347856859598,0.275467854398366,30.6638169958577,-1.0540172010042,0.300109821596624,0.10701782528978,0.0331932271669348,27595.3900080616,3.22408618937737,0.00126522288592339,-0.274518972762289,0.359656157619794,26.4019699901601,-0.763281726021477,0.452062310539548,-0.0158288840973095,-0.564866829621887,0.34537725564998,0.539615355898101,0.963445183204296,0.295193988931481,0.549037945524577,0.719312315239588,0.445295397923003
0,0,1.33249187710398,0.244952322843392,43.1978100575748,5.43980094426742,2.34225356779997e-06,-0.194631616038307,0.279944652256244,31.7639189770904,-0.695250344915158,0.491953718716545,0.108328111893831,0.0333617882122652,29476.1775421025,3.24707150601733,0.00116729375969524,-0.233044061398156,0.357992648271963,24.6670173434979,-0.650974433478072,0.521081549168753,0.0384124453598482,-0.427675677436463,0.365294447752426,0.52878677699857,0.916253017960138,0.418637885716993,0.466088122796311,0.715985296543926,0.5150629908445
0,0,1.36070002759313,0.237427858521517,41.6622714770959,5.73100408716281,9.92241347179087e-07,-0.146818100721427,0.305694732114278,30.6855869519873,-0.480276842541539,0.6344367796606,0.1022835322794,0.0335720557455892,32116.8524589348,3.0466865971661,0.00231566547505545,-0.11459564121824,0.378936282889809,23.0630401570086,-0.302414010989713,0.765047049074185,-0.0322224595031874,-0.261413741939667,0.375471204032263,0.577152775621928,0.931610522056268,0.650594237822566,0.229191282436479,0.757872565779619,0.762336475248282
0,0,1.4090936079735,0.233701153857496,40.1496053716272,6.02946791111149,4.23839003542245e-07,-0.0728850794677731,0.330533256052558,24.0261266776556,-0.220507552971262,0.827338927549807,0.0859410198826233,0.0336428899816771,31339.2382057092,2.55450765167408,0.0106384938931579,0.0432652490063613,0.408241656058091,20.3925457726405,0.105979505923337,0.916634210478401,-0.116150328474134,-0.0296198304614118,0.365464211935363,0.646732460906348,0.750624607701124,0.963470295048494,-0.0865304980127227,0.816483312116182,0.915598612504765
0,0,1.42714122120268,0.235442893463883,38.4901242825731,6.06151750943208,4.46780740411193e-07,-0.118808411769958,0.323591026198725,16.4382554996011,-0.36715607711876,0.718186476827023,0.0883002078320232,0.0336052680376329,27269.4603006397,2.62757040750694,0.00860451771356802,0.0129231674283552,0.463181737338891,15.7734099628937,0.0279008570212687,0.978091182022592,-0.131731579198313,-0.105885244341602,0.369155862411653,0.708675452748536,0.721207530649922,0.881227844629894,-0.0258463348567104,0.926363474677781,0.977741224906621
0,0,1.4447096928125,0.232532007401589,37.6912504827594,6.21294981691467,3.00263683826876e-07,-0.162550920946001,0.35748764790163,16.3992610629546,-0.454703601369549,0.655283797945422,0.0655149683406264,0.033568779029233,31427.5902786214,1.95166372549843,0.0509870119370793,0.0886799206015406,0.489625426685218,14.8908614670293,0.181117882708639,0.85871721166978,-0.251230841547541,-0.07387100034446,0.40000292460734,0.758326192362771,0.529956439409796,0.922398242286437,-0.177359841203081,0.979250853370436,0.856275048355566
0,0,1.452912038973,0.229433887170066,37.1361159301713,6.33259566358669,2.19494573189186e-07,-0.264468271418208,0.372868802692305,23.0113194373928,-0.709279697063983,0.485276005477362,0.055577568523145,0.0337716795552907,35939.2192464562,1.64568565303819,0.0998372387993031,0.124873394426527,0.455895699202029,19.7476198593914,0.273907814101116,0.787000029166946,-0.389341665844735,-0.139594876991681,0.42081822793831,0.71878792712389,0.354861090887705,0.846012462138775,-0.249746788853055,0.911791398404057,0.784155466378632
0,0,1.48442145003371,0.228501479449691,35.4042043469245,6.49633189950762,1.63572207931227e-07,-0.406293556268102,0.342674873413845,28.0058051159756,-1.18565318845956,0.24572205107533,0.057838257009036,0.0338198145398632,36236.4735622263,1.71018847370858,0.0872395867324148,0.195711092694203,0.405320043109728,24.9788070405823,0.482855698900683,0.63340322202879,-0.602004648962305,-0.210582463573899,0.419066023941814,0.622739496104858,0.150849052883313,0.735246398135427,-0.391422185388406,0.810640086219456,0.629198199151525
